Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
3d animation company near me,CAD,20.0,25%,400%,Low,8.0,13.39,26.85,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,40.0,50.0,50.0
video production for startups,CAD,90.0,27%,180%,Low,1.0,,,,,,,,40.0,70.0,50.0,40.0,50.0,50.0,110.0,170.0,110.0,110.0,140.0,140.0
professional video company,CAD,90.0,-58%,267%,Low,4.0,13.09,55.9,,,,,,40.0,30.0,50.0,40.0,50.0,40.0,40.0,40.0,90.0,260.0,260.0,110.0
corporate film makers,CAD,70.0,-35%,143%,Low,1.0,,,,,,,,40.0,20.0,30.0,20.0,30.0,30.0,30.0,40.0,90.0,260.0,170.0,170.0
music video production services,CAD,110.0,91%,600%,Low,1.0,,,,,,,,50.0,50.0,70.0,70.0,110.0,90.0,210.0,140.0,140.0,110.0,140.0,210.0
full service video production company,CAD,320.0,50%,324%,Low,5.0,4.19,14.8,,,,,,210.0,170.0,210.0,140.0,210.0,260.0,320.0,320.0,320.0,480.0,590.0,720.0
3d product animation agency,CAD,70.0,27%,250%,Low,4.0,15.17,70.49,,,,,,70.0,40.0,50.0,20.0,20.0,20.0,70.0,70.0,90.0,110.0,140.0,140.0
video marketing for brands,CAD,50.0,267%,120%,Low,9.0,6.73,20.5,,,,,,50.0,50.0,50.0,50.0,30.0,30.0,50.0,50.0,40.0,30.0,70.0,110.0
best company explainer videos,CAD,140.0,21%,143%,Low,8.0,6.34,41.03,,,,,,90.0,140.0,110.0,110.0,90.0,70.0,170.0,140.0,140.0,140.0,210.0,170.0
video content production company,CAD,170.0,22%,680%,Low,1.0,8.41,32.84,,,,,,50.0,50.0,50.0,70.0,50.0,70.0,140.0,110.0,170.0,320.0,390.0,390.0
best 3d animation studios,CAD,30.0,50%,200%,Low,20.0,3.77,8.26,,,,,,20.0,20.0,20.0,20.0,20.0,30.0,30.0,40.0,40.0,20.0,30.0,30.0
wooshii video agency,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
medical video production companies,CAD,50.0,29%,125%,Low,2.0,,,,,,,,20.0,20.0,30.0,30.0,10.0,30.0,70.0,70.0,40.0,70.0,90.0,90.0
product animation company,CAD,90.0,-36%,800%,Low,2.0,,,,,,,,20.0,20.0,20.0,20.0,20.0,70.0,140.0,140.0,170.0,140.0,170.0,90.0
promotional video agency,CAD,50.0,-29%,67%,Low,4.0,,,,,,,,50.0,30.0,40.0,40.0,30.0,40.0,70.0,70.0,90.0,70.0,90.0,50.0
animated video maker company,CAD,10.0,100%,100%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0
digital agency video,CAD,10.0,0%,-67%,Low,13.0,,,,,,,,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0
corporate video production services,CAD,880.0,0%,233%,Low,1.0,11.86,35.59,,,,,,390.0,480.0,480.0,390.0,480.0,390.0,480.0,720.0,880.0,1600.0,1900.0,1600.0
film and video production company,CAD,140.0,24%,420%,Low,4.0,4.33,24.06,,,,,,40.0,40.0,70.0,50.0,50.0,70.0,140.0,140.0,170.0,210.0,260.0,260.0
video advertising display,CAD,70.0,0%,-22%,Low,22.0,8.68,34.43,,,,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,110.0,70.0
explainer video production agency,CAD,50.0,125%,29%,Low,3.0,,,,,,,,10.0,50.0,40.0,20.0,20.0,20.0,70.0,70.0,50.0,40.0,70.0,90.0
motion graphics video company,CAD,260.0,23%,182%,Low,1.0,5.37,65.96,,,,,,170.0,140.0,110.0,140.0,110.0,140.0,210.0,260.0,320.0,390.0,480.0,480.0
promotional video making service,CAD,10.0,50%,∞,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,30.0
sponsored brands video amazon,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
professional video production company,CAD,480.0,-55%,125%,Low,2.0,6.62,55.9,,,,,,320.0,320.0,260.0,210.0,260.0,260.0,320.0,480.0,590.0,1600.0,880.0,720.0
corporate motion graphics,CAD,40.0,0%,133%,Low,22.0,4.43,22.36,,,,,,40.0,20.0,30.0,30.0,20.0,20.0,20.0,40.0,40.0,70.0,90.0,70.0
corporate film production companies,CAD,140.0,23%,540%,Low,2.0,2.91,17.25,,,,,,70.0,50.0,50.0,50.0,50.0,110.0,70.0,70.0,210.0,260.0,320.0,320.0
2d video animation services,CAD,70.0,22%,450%,Low,3.0,11.89,45.28,,,,,,30.0,30.0,40.0,50.0,50.0,40.0,110.0,110.0,140.0,90.0,110.0,110.0
advertise on amazon prime,CAD,90.0,40%,-50%,Medium,59.0,6.57,60.25,,,,,,140.0,110.0,170.0,70.0,140.0,110.0,70.0,70.0,70.0,50.0,70.0,70.0
brand promotion video,CAD,30.0,-44%,400%,Low,5.0,9.3,32.7,,,,,,10.0,20.0,20.0,10.0,20.0,10.0,10.0,10.0,50.0,90.0,50.0,50.0
video production for brands,CAD,720.0,0%,233%,Low,2.0,7.01,36.07,,,,,,390.0,480.0,320.0,390.0,320.0,320.0,390.0,480.0,720.0,1300.0,1600.0,1300.0
educational video companies,CAD,110.0,0%,180%,Low,5.0,4.61,45.68,,,,,,70.0,50.0,40.0,50.0,50.0,90.0,110.0,110.0,170.0,140.0,170.0,140.0
3d character animation studio,CAD,30.0,0%,200%,Low,0.0,,,,,,,,20.0,10.0,20.0,10.0,10.0,20.0,30.0,70.0,30.0,30.0,40.0,30.0
corporate video studio,CAD,50.0,0%,33%,Low,4.0,,,,,,,,40.0,40.0,50.0,30.0,50.0,40.0,50.0,50.0,50.0,40.0,70.0,40.0
amazon sponsored brands video,CAD,30.0,100%,33%,Low,8.0,6.99,9.78,,,,,,30.0,40.0,20.0,20.0,20.0,30.0,20.0,40.0,20.0,20.0,40.0,40.0
best video production company websites,CAD,90.0,0%,133%,Low,21.0,2.27,11.49,,,,,,40.0,40.0,70.0,90.0,390.0,40.0,70.0,40.0,90.0,70.0,50.0,70.0
3d animation and vfx,CAD,70.0,0%,80%,Low,17.0,3.82,11.91,,,,,,40.0,70.0,40.0,40.0,40.0,30.0,50.0,50.0,70.0,90.0,110.0,90.0
video shooting company,CAD,50.0,-36%,800%,Low,1.0,,,,,,,,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,90.0,140.0,140.0,90.0
marketing for video production company,CAD,320.0,23%,243%,Low,4.0,7.94,37.48,,,,,,170.0,170.0,210.0,170.0,170.0,260.0,390.0,260.0,320.0,390.0,590.0,480.0
animated brand video,CAD,70.0,-36%,200%,Low,4.0,10.4,26.12,,,,,,40.0,20.0,40.0,40.0,30.0,40.0,40.0,30.0,90.0,140.0,110.0,90.0
best video marketing companies,CAD,30.0,25%,400%,Low,0.0,,,,,,,,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,70.0,50.0
small 3d animation studios,CAD,10.0,0%,-50%,Medium,44.0,3.26,10.16,,,,,,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0
commercial production agency,CAD,210.0,-19%,50%,Low,4.0,6.35,24.4,,,,,,170.0,170.0,170.0,170.0,170.0,210.0,210.0,260.0,320.0,260.0,320.0,210.0
best video production companies in the world,CAD,20.0,0%,0%,Low,13.0,,,,,,,,10.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0
boutique video production company,CAD,20.0,0%,-67%,Low,30.0,4.02,8.55,,,,,,20.0,20.0,10.0,10.0,10.0,10.0,50.0,40.0,40.0,10.0,30.0,10.0
brand with video,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,20.0,10.0
brand promo video,CAD,30.0,400%,67%,Low,19.0,4.96,19.19,,,,,,20.0,30.0,20.0,20.0,20.0,30.0,30.0,20.0,30.0,10.0,20.0,50.0
sales video production,CAD,70.0,0%,180%,Low,4.0,4.17,19.55,,,,,,40.0,40.0,40.0,30.0,40.0,40.0,70.0,90.0,90.0,140.0,140.0,140.0
amazon sponsored brand video ads,CAD,20.0,0%,-71%,Low,20.0,6.99,16.71,,,,,,50.0,10.0,20.0,20.0,10.0,20.0,10.0,20.0,20.0,20.0,40.0,20.0
crunchyroll funimation bundle,CAD,10.0,0%,-67%,Low,2.0,,,,,,,,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
the explainer company,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
video production vendors,CAD,10.0,0%,0%,Low,17.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d video animation company,CAD,30.0,50%,200%,Low,23.0,24.96,56.04,,,,,,10.0,20.0,10.0,10.0,10.0,10.0,70.0,70.0,50.0,20.0,50.0,30.0
2d and 3d animation services,CAD,110.0,0%,100%,Low,3.0,7.14,29.65,,,,,,50.0,90.0,70.0,90.0,70.0,90.0,140.0,110.0,140.0,140.0,210.0,140.0
top video production companies in the world,CAD,10.0,-50%,-50%,Low,20.0,3.72,13.98,,,,,,10.0,10.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,30.0,10.0
shoppable video companies,CAD,10.0,0%,0%,Low,28.0,11.52,46.37,,,,,,10.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0
real estate video production company,CAD,90.0,22%,175%,Low,4.0,,,,,,,,70.0,70.0,90.0,40.0,50.0,70.0,90.0,110.0,90.0,90.0,140.0,110.0
3d logo animation services,CAD,40.0,33%,300%,Low,7.0,,,,,,,,90.0,110.0,20.0,20.0,10.0,10.0,30.0,20.0,20.0,30.0,30.0,40.0
business video production services,CAD,260.0,22%,555%,Low,1.0,3.53,55.9,,,,,,110.0,90.0,110.0,90.0,110.0,70.0,140.0,140.0,260.0,590.0,880.0,720.0
3d animation outsourcing company,CAD,50.0,0%,40%,Low,5.0,6.34,31.14,,,,,,50.0,40.0,40.0,30.0,40.0,40.0,30.0,40.0,70.0,70.0,110.0,70.0
3d logo animation after effects,CAD,30.0,0%,133%,Low,13.0,1.85,7.8,,,,,,20.0,20.0,20.0,20.0,20.0,30.0,20.0,10.0,20.0,70.0,70.0,70.0
starting a videography business,CAD,70.0,-20%,-43%,Low,21.0,2.23,16.92,,,,,,70.0,70.0,70.0,70.0,50.0,50.0,50.0,70.0,70.0,50.0,70.0,40.0
award winning corporate videos,CAD,30.0,-44%,150%,Low,3.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,70.0,90.0,50.0,50.0
3d animation outsourcing,CAD,110.0,0%,89%,Low,3.0,4.7,19.89,,,,,,90.0,110.0,90.0,110.0,90.0,70.0,90.0,110.0,140.0,170.0,210.0,170.0
top 3d animation companies,CAD,40.0,50%,-25%,Low,12.0,3.39,15.09,,,,,,10.0,20.0,30.0,30.0,30.0,30.0,70.0,70.0,40.0,20.0,40.0,30.0
video agency website,CAD,30.0,0%,0%,Low,15.0,,,,,,,,10.0,10.0,20.0,10.0,10.0,10.0,170.0,40.0,20.0,10.0,20.0,10.0
video design agency,CAD,30.0,-22%,600%,Low,2.0,,,,,,,,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,30.0,90.0,70.0,70.0
3d cgi agency,CAD,10.0,-33%,100%,Low,11.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,30.0,30.0,20.0
video promotion company,CAD,30.0,-40%,50%,Low,8.0,4.26,20.63,,,,,,30.0,50.0,30.0,30.0,30.0,20.0,20.0,20.0,30.0,50.0,40.0,30.0
crunchyroll timetable,CAD,50.0,57%,22%,Low,1.0,,,,,,,,50.0,30.0,90.0,50.0,30.0,70.0,20.0,30.0,90.0,70.0,50.0,110.0
photography and videography company,CAD,70.0,3800%,875%,Low,3.0,1.86,12.93,,,,,,30.0,30.0,30.0,20.0,30.0,30.0,30.0,20.0,40.0,10.0,70.0,390.0
best video companies,CAD,50.0,0%,150%,Low,10.0,3.27,13.98,,,,,,30.0,20.0,40.0,50.0,40.0,40.0,50.0,50.0,50.0,50.0,70.0,50.0
3d rendering walkthrough,CAD,50.0,0%,450%,Low,4.0,4.74,24.25,,,,,,20.0,20.0,30.0,30.0,20.0,20.0,10.0,20.0,50.0,110.0,140.0,110.0
television commercial production companies,CAD,1000.0,50%,233%,Low,6.0,8.81,46.9,,,,,,720.0,590.0,590.0,880.0,590.0,720.0,590.0,590.0,1000.0,1600.0,1600.0,2400.0
videography services list,CAD,40.0,-36%,600%,Low,8.0,2.15,3.77,,,,,,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,70.0,110.0,70.0,70.0
television commercial production,CAD,880.0,26%,515%,Low,1.0,6.63,36.04,,,,,,480.0,320.0,390.0,390.0,480.0,590.0,480.0,590.0,1000.0,1900.0,1900.0,2400.0
digital marketing video production,CAD,70.0,0%,200%,Low,0.0,,,,,,,,50.0,50.0,30.0,40.0,50.0,70.0,30.0,50.0,90.0,90.0,110.0,90.0
youtube video makers near me,CAD,10.0,0%,0%,Low,23.0,3.04,19.04,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
local video producers,CAD,10.0,0%,0%,High,76.0,4.25,22.12,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
digital marketing animation,CAD,20.0,0%,100%,Low,10.0,3.02,9.08,,,,,,20.0,30.0,20.0,10.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0
non profit production company,CAD,30.0,100%,0%,Low,11.0,4.01,17.25,,,,,,30.0,30.0,30.0,20.0,20.0,30.0,30.0,20.0,40.0,20.0,40.0,40.0
filming production companies,CAD,6600.0,0%,23%,Low,14.0,2.33,8.55,,,,,,6600.0,6600.0,5400.0,5400.0,6600.0,6600.0,6600.0,6600.0,8100.0,8100.0,9900.0,8100.0
infomercial video production,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d video explainer,CAD,140.0,0%,143%,Low,19.0,4.53,34.0,,,,,,140.0,140.0,70.0,90.0,140.0,70.0,210.0,170.0,170.0,170.0,210.0,170.0
best business videos,CAD,20.0,0%,0%,Low,12.0,3.17,10.4,,,,,,20.0,30.0,20.0,20.0,30.0,30.0,20.0,10.0,20.0,30.0,30.0,30.0
social media video production agency,CAD,70.0,29%,200%,Low,6.0,7.87,26.26,,,,,,20.0,30.0,40.0,40.0,40.0,50.0,70.0,90.0,110.0,70.0,110.0,90.0
vfx outsourcing,CAD,20.0,150%,150%,Low,11.0,2.01,13.37,,,,,,10.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,30.0,20.0,70.0,50.0
creative video production company,CAD,110.0,0%,56%,Low,2.0,3.27,13.01,,,,,,110.0,90.0,90.0,70.0,90.0,70.0,110.0,90.0,140.0,140.0,210.0,140.0
creative corporate videos,CAD,20.0,-33%,0%,Low,1.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,40.0,30.0,30.0,20.0
global video production,CAD,70.0,50%,-67%,Low,2.0,,,,,,,,260.0,170.0,110.0,70.0,50.0,30.0,10.0,30.0,30.0,20.0,30.0,30.0
interactive video agency,CAD,10.0,0%,0%,Low,14.0,,,,,,,,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0
top media production companies,CAD,20.0,-50%,0%,Low,24.0,3.79,9.46,,,,,,20.0,10.0,20.0,20.0,30.0,20.0,20.0,10.0,20.0,40.0,30.0,20.0
explainer video firm,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
columbus video production,CAD,70.0,-64%,25%,Low,4.0,,,,,,,,30.0,50.0,30.0,30.0,50.0,70.0,70.0,70.0,50.0,140.0,140.0,50.0
corporate marketing videos,CAD,110.0,27%,180%,Low,3.0,4.93,14.21,,,,,,70.0,50.0,90.0,90.0,110.0,90.0,140.0,110.0,110.0,110.0,210.0,140.0
vivid video company,CAD,10.0,0%,-75%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,40.0,30.0,10.0,10.0,10.0,10.0,10.0
3d animation house design,CAD,10.0,0%,0%,Low,29.0,2.51,5.67,,,,,,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d animation video production company,CAD,70.0,0%,125%,Low,0.0,,,,,,,,30.0,40.0,30.0,30.0,30.0,30.0,70.0,110.0,110.0,90.0,140.0,90.0
360 video company,CAD,40.0,-22%,600%,Low,2.0,1.21,7.97,,,,,,20.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,40.0,90.0,90.0,70.0
online video production service,CAD,30.0,33%,100%,Low,1.0,,,,,,,,30.0,20.0,30.0,20.0,20.0,30.0,40.0,30.0,40.0,30.0,30.0,40.0
video production industry,CAD,260.0,24%,86%,Low,3.0,3.87,16.77,,,,,,140.0,390.0,390.0,170.0,140.0,140.0,170.0,210.0,260.0,210.0,320.0,260.0
broadcasting and media production company,CAD,50.0,29%,125%,Low,10.0,2.78,9.29,,,,,,30.0,50.0,40.0,40.0,40.0,30.0,50.0,40.0,90.0,70.0,90.0,90.0
vfx agency,CAD,30.0,-33%,-33%,Low,32.0,1.88,4.22,,,,,,30.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,40.0,30.0,20.0,20.0
the video company,CAD,50.0,67%,-29%,Low,7.0,1.74,12.93,,,,,,70.0,70.0,70.0,50.0,50.0,30.0,40.0,50.0,40.0,30.0,40.0,50.0
visual production company,CAD,50.0,0%,450%,Low,2.0,,,,,,,,30.0,20.0,30.0,20.0,30.0,10.0,30.0,30.0,40.0,110.0,110.0,110.0
video design company,CAD,30.0,25%,150%,Low,15.0,6.27,39.21,,,,,,30.0,10.0,30.0,40.0,30.0,20.0,20.0,10.0,30.0,40.0,70.0,50.0
real video production co,CAD,70.0,29%,29%,Low,10.0,0.63,6.57,,,,,,90.0,110.0,30.0,30.0,50.0,110.0,50.0,30.0,70.0,70.0,90.0,90.0
animated marketing video production,CAD,70.0,-18%,200%,Low,1.0,,,,,,,,40.0,40.0,30.0,40.0,30.0,40.0,90.0,70.0,90.0,110.0,140.0,90.0
commercial video production services,CAD,260.0,23%,243%,Low,0.0,,,,,,,,170.0,140.0,140.0,110.0,170.0,140.0,260.0,320.0,320.0,390.0,590.0,480.0
mega fan member crunchyroll,CAD,70.0,-67%,-94%,Low,1.0,,,,,,,,110.0,90.0,110.0,110.0,70.0,110.0,90.0,70.0,70.0,30.0,20.0,10.0
multimedia video production,CAD,110.0,0%,133%,Low,1.0,,,,,,,,70.0,50.0,50.0,110.0,70.0,90.0,50.0,70.0,90.0,210.0,260.0,210.0
healthcare video production company,CAD,70.0,40%,75%,Low,5.0,,,,,,,,40.0,40.0,40.0,40.0,40.0,40.0,170.0,140.0,110.0,50.0,90.0,70.0
top video production agencies,CAD,260.0,24%,0%,Low,9.0,4.25,23.72,,,,,,390.0,210.0,320.0,260.0,170.0,140.0,260.0,320.0,260.0,170.0,320.0,210.0
grabyo producer,CAD,10.0,0%,0%,Low,4.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
grass valley switcher,CAD,320.0,22%,0%,High,71.0,1.06,22.81,,,,,,390.0,320.0,320.0,320.0,320.0,320.0,260.0,260.0,320.0,320.0,390.0,390.0
video film production companies,CAD,140.0,24%,420%,Low,4.0,4.33,24.06,,,,,,40.0,40.0,70.0,50.0,50.0,70.0,140.0,140.0,170.0,210.0,260.0,260.0
video film productions ltd,CAD,10.0,-100%,0%,Unknown,,,,,,,,,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0
company branding video,CAD,30.0,-33%,0%,Low,21.0,7.84,17.57,,,,,,20.0,10.0,20.0,30.0,20.0,30.0,70.0,70.0,30.0,30.0,20.0,20.0
best marketing video companies,CAD,10.0,100%,100%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0
promotional video production company,CAD,390.0,51%,556%,Low,1.0,9.86,28.98,,,,,,110.0,170.0,590.0,1300.0,110.0,140.0,210.0,210.0,260.0,390.0,590.0,590.0
creative video studio,CAD,10.0,-50%,0%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
wedding videography companies,CAD,210.0,23%,88%,Low,9.0,1.79,5.47,,,,,,260.0,170.0,210.0,140.0,170.0,170.0,260.0,170.0,210.0,260.0,260.0,320.0
top 10 explainer video companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0
top music video production companies,CAD,30.0,40%,133%,Low,8.0,2.28,4.32,,,,,,20.0,30.0,30.0,20.0,30.0,20.0,30.0,30.0,50.0,50.0,30.0,70.0
full service video agency,CAD,10.0,0%,0%,Low,25.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0
whiteboard animation video company,CAD,50.0,-20%,100%,Low,3.0,,,,,,,,30.0,10.0,20.0,30.0,30.0,20.0,140.0,90.0,70.0,50.0,70.0,40.0
chicago production studios,CAD,110.0,0%,0%,Medium,35.0,3.17,12.2,,,,,,110.0,170.0,70.0,140.0,110.0,90.0,110.0,70.0,110.0,140.0,90.0,140.0
advertising videography,CAD,1900.0,0%,0%,Low,20.0,4.5,20.78,,,,,,1900.0,1600.0,1600.0,1900.0,1900.0,1900.0,1600.0,1600.0,2400.0,2400.0,2400.0,2400.0
professional video making company,CAD,10.0,100%,100%,Low,19.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,20.0
video production studio design,CAD,20.0,0%,0%,Low,6.0,,,,,,,,30.0,40.0,20.0,20.0,30.0,10.0,30.0,10.0,40.0,20.0,20.0,20.0
360 video production company,CAD,50.0,-22%,250%,Low,1.0,,,,,,,,30.0,20.0,20.0,20.0,20.0,30.0,50.0,70.0,90.0,90.0,110.0,70.0
tv commercial production cost,CAD,110.0,53%,271%,Low,7.0,4.03,34.85,,,,,,40.0,40.0,50.0,40.0,30.0,50.0,90.0,140.0,110.0,170.0,210.0,260.0
video media companies near me,CAD,10.0,0%,0%,High,100.0,,,,,,,,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
companies that need video production,CAD,10.0,0%,0%,Low,29.0,,,,,,,,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
media and production company,CAD,880.0,85%,307%,Low,7.0,3.07,12.07,,,,,,720.0,720.0,590.0,590.0,590.0,590.0,590.0,590.0,880.0,1300.0,1900.0,2400.0
creative video production agency,CAD,140.0,0%,271%,Low,3.0,3.65,35.84,,,,,,50.0,70.0,70.0,90.0,70.0,110.0,210.0,110.0,210.0,260.0,260.0,260.0
smart video,CAD,590.0,22%,0%,Low,1.0,1.47,11.28,,,,,,720.0,590.0,480.0,590.0,590.0,590.0,480.0,590.0,720.0,590.0,720.0,720.0
explainer video animation services,CAD,210.0,88%,256%,Low,4.0,12.84,45.92,,,,,,140.0,140.0,110.0,110.0,110.0,140.0,260.0,260.0,320.0,170.0,390.0,320.0
best corporate video production companies,CAD,70.0,56%,180%,Low,0.0,,,,,,,,30.0,50.0,50.0,40.0,40.0,40.0,50.0,50.0,50.0,90.0,140.0,140.0
360 production company,CAD,40.0,0%,1000%,Low,2.0,1.89,4.88,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,110.0,110.0,110.0
post production editing,CAD,480.0,51%,51%,Low,3.0,1.48,9.79,,,,,,390.0,320.0,320.0,320.0,390.0,480.0,480.0,480.0,590.0,390.0,590.0,590.0
top video advertising companies,CAD,10.0,0%,0%,Medium,43.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
dneg animation studio,CAD,40.0,125%,200%,Low,0.0,,,,,,,,20.0,50.0,40.0,20.0,30.0,40.0,30.0,20.0,30.0,40.0,40.0,90.0
90 seconds video production,CAD,20.0,0%,-33%,Low,8.0,,,,,,,,30.0,30.0,40.0,30.0,20.0,20.0,30.0,10.0,10.0,20.0,20.0,20.0
promo marketing video maker,CAD,10.0,0%,0%,High,67.0,,,,,,,,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
sponsored brand video ads,CAD,10.0,0%,0%,Medium,46.0,8.44,63.8,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d architectural visualization companies,CAD,260.0,-19%,129%,Low,3.0,5.49,21.54,,,,,,140.0,210.0,110.0,210.0,210.0,210.0,260.0,210.0,390.0,480.0,590.0,390.0
b2b video marketing agency,CAD,40.0,-43%,33%,Low,3.0,,,,,,,,40.0,20.0,20.0,30.0,30.0,20.0,20.0,30.0,50.0,70.0,110.0,40.0
special effects companies,CAD,210.0,-19%,-19%,Low,8.0,2.07,5.69,,,,,,210.0,140.0,170.0,140.0,140.0,210.0,260.0,170.0,260.0,210.0,170.0,170.0
corporate video filming,CAD,30.0,-20%,300%,Low,8.0,4.6,17.46,,,,,,10.0,10.0,10.0,20.0,10.0,20.0,10.0,20.0,40.0,50.0,50.0,40.0
social video production company,CAD,390.0,50%,243%,Low,7.0,5.41,19.19,,,,,,260.0,260.0,320.0,260.0,320.0,390.0,320.0,320.0,480.0,480.0,720.0,720.0
cost of 3d animation per minute,CAD,70.0,-29%,0%,Low,13.0,2.3,10.05,,,,,,70.0,50.0,70.0,40.0,50.0,50.0,110.0,70.0,90.0,70.0,70.0,50.0
video production studio for rent,CAD,10.0,0%,0%,Low,29.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
visual effects studios,CAD,1600.0,26%,50%,Low,5.0,1.91,5.59,,,,,,1300.0,1600.0,1600.0,1600.0,1600.0,1300.0,1600.0,1600.0,1900.0,1900.0,2400.0,2400.0
sports video companies,CAD,10.0,0%,-67%,Medium,33.0,,,,,,,,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
oklahoma video production,CAD,10.0,0%,0%,Low,32.0,,,,,,,,10.0,10.0,30.0,10.0,10.0,10.0,50.0,20.0,30.0,10.0,10.0,10.0
broadcasting & media production company,CAD,50.0,29%,125%,Low,10.0,2.78,9.29,,,,,,30.0,50.0,40.0,40.0,40.0,30.0,50.0,40.0,90.0,70.0,90.0,90.0
