keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
corporate video production cost,260.0,4.45,18.24,3.0,Low,CAD,11.345,commercial
video content company,110.0,2.59,16.53,3.0,Low,CAD,9.56,transactional
tv advert production,880.0,6.63,36.04,1.0,Low,CAD,21.335,informational
3d medical animation video,70.0,5.31,23.44,14.0,Low,CAD,14.375,commercial
social media videography,1600.0,2.87,11.39,11.0,Low,CAD,7.130000000000001,informational
3d video agency,50.0,,,1.0,Low,CAD,,transactional
phoenix production companies,140.0,3.74,19.72,15.0,Low,CAD,11.73,informational
animation video maker agency,10.0,,,13.0,Low,CAD,,transactional
brand animation video,20.0,7.98,38.86,30.0,Low,CAD,23.42,commercial
best commercial production companies,140.0,3.93,18.45,11.0,Low,CAD,11.19,commercial
explainer video animation company,50.0,14.11,63.49,4.0,Low,CAD,38.8,transactional
social video production,1000.0,5.53,20.04,4.0,Low,CAD,12.785,commercial
3d medical animation company,50.0,12.58,20.96,5.0,Low,CAD,16.77,transactional
funimation to crunchyroll,30.0,,,2.0,Low,CAD,,informational
best video agency,50.0,3.27,13.98,10.0,Low,CAD,8.625,transactional
explainer videos for startups,110.0,7.8,37.17,3.0,Low,CAD,22.485,informational
list of commercial production companies,10.0,,,5.0,Low,CAD,,informational
best video production,40.0,3.35,18.41,8.0,Low,CAD,10.88,commercial
3d cgi,590.0,2.61,6.12,5.0,Low,CAD,4.365,informational
brand explainer video,50.0,11.52,35.05,8.0,Low,CAD,23.285,informational
agency video,1600.0,4.54,21.37,10.0,Low,CAD,12.955,transactional
corporate video production house,480.0,12.02,41.93,6.0,Low,CAD,26.975,commercial
curiosity stream dinosaurs,10.0,,,2.0,Low,CAD,,informational
3d architectural rendering company,260.0,5.49,21.54,3.0,Low,CAD,13.515,transactional
black owned video production companies,10.0,3.12,7.2,54.0,Medium,CAD,5.16,commercial
corporate video production agency,2900.0,6.51,32.18,5.0,Low,CAD,19.345,transactional
3d animation commission,20.0,2.71,10.57,60.0,Medium,CAD,6.640000000000001,commercial
video post production services,210.0,2.9,11.84,1.0,Low,CAD,7.37,transactional
3d character animation company,20.0,,,0.0,Low,CAD,,transactional
social media video services,110.0,3.41,20.1,2.0,Low,CAD,11.755,transactional
brand commercial video,10.0,,,8.0,Low,CAD,,informational
digital media production company,70.0,3.03,8.52,6.0,Low,CAD,5.775,transactional
marketing and video production,20.0,3.01,15.37,20.0,Low,CAD,9.19,commercial
corporate videography services,720.0,8.48,33.08,1.0,Low,CAD,20.78,transactional
video content production agency,170.0,8.41,32.84,1.0,Low,CAD,20.625,transactional
interactive video company,40.0,,,1.0,Low,CAD,,transactional
viral video agency,40.0,2.5,10.45,9.0,Low,CAD,6.475,transactional
best video production agency,260.0,6.59,18.82,7.0,Low,CAD,12.705,transactional
tvc production company,50.0,,,0.0,Low,CAD,,transactional
marketing production company,260.0,4.19,21.51,10.0,Low,CAD,12.85,transactional
marketing video maker online,90.0,9.74,44.29,3.0,Low,CAD,27.015,informational
3d animation video company,50.0,,,1.0,Low,CAD,,transactional
3d animation architecture,210.0,5.1,13.99,2.0,Low,CAD,9.545,commercial
explainer video studio,50.0,10.09,40.0,4.0,Low,CAD,25.045,transactional
commercial film production,260.0,5.94,31.87,2.0,Low,CAD,18.905,informational
tvc production house,30.0,,,0.0,Low,CAD,,informational
animated music video company,30.0,3.62,6.86,7.0,Low,CAD,5.24,transactional
video ad production cost,30.0,,,18.0,Low,CAD,,informational
corporate event videos,260.0,5.34,21.13,7.0,Low,CAD,13.235,informational
top video editing companies,30.0,4.42,20.96,17.0,Low,CAD,12.69,commercial
affordable video production companies,20.0,,,5.0,Low,CAD,,transactional
visual effects companies,210.0,2.1,7.89,6.0,Low,CAD,4.995,commercial
video and animation services,20.0,,,14.0,Low,CAD,,transactional
3d animation company near me,20.0,13.39,26.85,8.0,Low,CAD,20.12,transactional
video production for startups,90.0,,,1.0,Low,CAD,,commercial
professional video company,90.0,13.09,55.9,4.0,Low,CAD,34.495,transactional
corporate film makers,70.0,,,1.0,Low,CAD,,informational
music video production services,110.0,,,1.0,Low,CAD,,transactional
full service video production company,320.0,4.19,14.8,5.0,Low,CAD,9.495,transactional
3d product animation agency,70.0,15.17,70.49,4.0,Low,CAD,42.83,transactional
video marketing for brands,50.0,6.73,20.5,9.0,Low,CAD,13.615,informational
best company explainer videos,140.0,6.34,41.03,8.0,Low,CAD,23.685,transactional
video content production company,170.0,8.41,32.84,1.0,Low,CAD,20.625,transactional
best 3d animation studios,30.0,3.77,8.26,20.0,Low,CAD,6.015,transactional
wooshii video agency,10.0,,,14.0,Low,CAD,,transactional
medical video production companies,50.0,,,2.0,Low,CAD,,commercial
product animation company,90.0,,,2.0,Low,CAD,,transactional
promotional video agency,50.0,,,4.0,Low,CAD,,transactional
animated video maker company,10.0,,,0.0,Low,CAD,,transactional
digital agency video,10.0,,,13.0,Low,CAD,,transactional
corporate video production services,880.0,11.86,35.59,1.0,Low,CAD,23.725,transactional
film and video production company,140.0,4.33,24.06,4.0,Low,CAD,14.195,transactional
video advertising display,70.0,8.68,34.43,22.0,Low,CAD,21.555,informational
explainer video production agency,50.0,,,3.0,Low,CAD,,transactional
motion graphics video company,260.0,5.37,65.96,1.0,Low,CAD,35.665,transactional
promotional video making service,10.0,,,0.0,Low,CAD,,transactional
sponsored brands video amazon,10.0,,,14.0,Low,CAD,,informational
professional video production company,480.0,6.62,55.9,2.0,Low,CAD,31.26,transactional
corporate motion graphics,40.0,4.43,22.36,22.0,Low,CAD,13.395,commercial
corporate film production companies,140.0,2.91,17.25,2.0,Low,CAD,10.08,informational
2d video animation services,70.0,11.89,45.28,3.0,Low,CAD,28.585,transactional
advertise on amazon prime,90.0,6.57,60.25,59.0,Medium,CAD,33.41,informational
brand promotion video,30.0,9.3,32.7,5.0,Low,CAD,21.0,informational
video production for brands,720.0,7.01,36.07,2.0,Low,CAD,21.54,commercial
educational video companies,110.0,4.61,45.68,5.0,Low,CAD,25.145,informational
3d character animation studio,30.0,,,0.0,Low,CAD,,transactional
corporate video studio,50.0,,,4.0,Low,CAD,,transactional
amazon sponsored brands video,30.0,6.99,9.78,8.0,Low,CAD,8.385,informational
best video production company websites,90.0,2.27,11.49,21.0,Low,CAD,6.88,transactional
3d animation and vfx,70.0,3.82,11.91,17.0,Low,CAD,7.865,commercial
video shooting company,50.0,,,1.0,Low,CAD,,transactional
marketing for video production company,320.0,7.94,37.48,4.0,Low,CAD,22.71,transactional
animated brand video,70.0,10.4,26.12,4.0,Low,CAD,18.26,informational
best video marketing companies,30.0,,,0.0,Low,CAD,,commercial
small 3d animation studios,10.0,3.26,10.16,44.0,Medium,CAD,6.71,transactional
commercial production agency,210.0,6.35,24.4,4.0,Low,CAD,15.375,transactional
best video production companies in the world,20.0,,,13.0,Low,CAD,,commercial
boutique video production company,20.0,4.02,8.55,30.0,Low,CAD,6.285,transactional
brand with video,10.0,,,0.0,Low,CAD,,informational
brand promo video,30.0,4.96,19.19,19.0,Low,CAD,12.075,informational
sales video production,70.0,4.17,19.55,4.0,Low,CAD,11.86,commercial
amazon sponsored brand video ads,20.0,6.99,16.71,20.0,Low,CAD,11.85,informational
crunchyroll funimation bundle,10.0,,,2.0,Low,CAD,,informational
the explainer company,10.0,,,,Unknown,CAD,,transactional
video production vendors,10.0,,,17.0,Low,CAD,,transactional
3d video animation company,30.0,24.96,56.04,23.0,Low,CAD,40.5,transactional
2d and 3d animation services,110.0,7.14,29.65,3.0,Low,CAD,18.395,transactional
top video production companies in the world,10.0,3.72,13.98,20.0,Low,CAD,8.85,commercial
shoppable video companies,10.0,11.52,46.37,28.0,Low,CAD,28.945,informational
real estate video production company,90.0,,,4.0,Low,CAD,,transactional
3d logo animation services,40.0,,,7.0,Low,CAD,,transactional
business video production services,260.0,3.53,55.9,1.0,Low,CAD,29.715,transactional
3d animation outsourcing company,50.0,6.34,31.14,5.0,Low,CAD,18.74,transactional
3d logo animation after effects,30.0,1.85,7.8,13.0,Low,CAD,4.825,commercial
starting a videography business,70.0,2.23,16.92,21.0,Low,CAD,9.575,informational
award winning corporate videos,30.0,,,3.0,Low,CAD,,informational
3d animation outsourcing,110.0,4.7,19.89,3.0,Low,CAD,12.295,commercial
top 3d animation companies,40.0,3.39,15.09,12.0,Low,CAD,9.24,commercial
video agency website,30.0,,,15.0,Low,CAD,,transactional
video design agency,30.0,,,2.0,Low,CAD,,transactional
3d cgi agency,10.0,,,11.0,Low,CAD,,transactional
video promotion company,30.0,4.26,20.63,8.0,Low,CAD,12.445,transactional
crunchyroll timetable,50.0,,,1.0,Low,CAD,,informational
photography and videography company,70.0,1.86,12.93,3.0,Low,CAD,7.395,transactional
best video companies,50.0,3.27,13.98,10.0,Low,CAD,8.625,commercial
3d rendering walkthrough,50.0,4.74,24.25,4.0,Low,CAD,14.495,informational
television commercial production companies,1000.0,8.81,46.9,6.0,Low,CAD,27.855,informational
videography services list,40.0,2.15,3.77,8.0,Low,CAD,2.96,transactional
television commercial production,880.0,6.63,36.04,1.0,Low,CAD,21.335,informational
digital marketing video production,70.0,,,0.0,Low,CAD,,commercial
youtube video makers near me,10.0,3.04,19.04,23.0,Low,CAD,11.04,transactional
local video producers,10.0,4.25,22.12,76.0,High,CAD,13.185,informational
digital marketing animation,20.0,3.02,9.08,10.0,Low,CAD,6.05,commercial
non profit production company,30.0,4.01,17.25,11.0,Low,CAD,10.63,transactional
filming production companies,6600.0,2.33,8.55,14.0,Low,CAD,5.44,informational
infomercial video production,10.0,,,0.0,Low,CAD,,commercial
3d video explainer,140.0,4.53,34.0,19.0,Low,CAD,19.265,informational
best business videos,20.0,3.17,10.4,12.0,Low,CAD,6.785,commercial
social media video production agency,70.0,7.87,26.26,6.0,Low,CAD,17.065,transactional
vfx outsourcing,20.0,2.01,13.37,11.0,Low,CAD,7.689999999999999,commercial
creative video production company,110.0,3.27,13.01,2.0,Low,CAD,8.14,transactional
creative corporate videos,20.0,,,1.0,Low,CAD,,informational
global video production,70.0,,,2.0,Low,CAD,,commercial
interactive video agency,10.0,,,14.0,Low,CAD,,transactional
top media production companies,20.0,3.79,9.46,24.0,Low,CAD,6.625,commercial
explainer video firm,10.0,,,0.0,Low,CAD,,informational
columbus video production,70.0,,,4.0,Low,CAD,,commercial
corporate marketing videos,110.0,4.93,14.21,3.0,Low,CAD,9.57,informational
vivid video company,10.0,,,1.0,Low,CAD,,transactional
3d animation house design,10.0,2.51,5.67,29.0,Low,CAD,4.09,commercial
3d animation video production company,70.0,,,0.0,Low,CAD,,transactional
360 video company,40.0,1.21,7.97,2.0,Low,CAD,4.59,transactional
online video production service,30.0,,,1.0,Low,CAD,,transactional
video production industry,260.0,3.87,16.77,3.0,Low,CAD,10.32,commercial
broadcasting and media production company,50.0,2.78,9.29,10.0,Low,CAD,6.034999999999999,transactional
vfx agency,30.0,1.88,4.22,32.0,Low,CAD,3.05,transactional
the video company,50.0,1.74,12.93,7.0,Low,CAD,7.335,transactional
visual production company,50.0,,,2.0,Low,CAD,,transactional
video design company,30.0,6.27,39.21,15.0,Low,CAD,22.74,transactional
real video production co,70.0,0.63,6.57,10.0,Low,CAD,3.6,commercial
animated marketing video production,70.0,,,1.0,Low,CAD,,commercial
commercial video production services,260.0,,,0.0,Low,CAD,,transactional
mega fan member crunchyroll,70.0,,,1.0,Low,CAD,,informational
multimedia video production,110.0,,,1.0,Low,CAD,,commercial
healthcare video production company,70.0,,,5.0,Low,CAD,,transactional
top video production agencies,260.0,4.25,23.72,9.0,Low,CAD,13.985,commercial
grabyo producer,10.0,,,4.0,Low,CAD,,informational
grass valley switcher,320.0,1.06,22.81,71.0,High,CAD,11.935,informational
video film production companies,140.0,4.33,24.06,4.0,Low,CAD,14.195,informational
video film productions ltd,10.0,,,,Unknown,CAD,,informational
company branding video,30.0,7.84,17.57,21.0,Low,CAD,12.705,transactional
best marketing video companies,10.0,,,0.0,Low,CAD,,commercial
promotional video production company,390.0,9.86,28.98,1.0,Low,CAD,19.42,transactional
creative video studio,10.0,,,3.0,Low,CAD,,transactional
wedding videography companies,210.0,1.79,5.47,9.0,Low,CAD,3.63,informational
top 10 explainer video companies,10.0,,,0.0,Low,CAD,,commercial
top music video production companies,30.0,2.28,4.32,8.0,Low,CAD,3.3,commercial
full service video agency,10.0,,,25.0,Low,CAD,,transactional
whiteboard animation video company,50.0,,,3.0,Low,CAD,,transactional
chicago production studios,110.0,3.17,12.2,35.0,Medium,CAD,7.685,local_transactional
advertising videography,1900.0,4.5,20.78,20.0,Low,CAD,12.64,informational
professional video making company,10.0,,,19.0,Low,CAD,,transactional
video production studio design,20.0,,,6.0,Low,CAD,,transactional
360 video production company,50.0,,,1.0,Low,CAD,,transactional
tv commercial production cost,110.0,4.03,34.85,7.0,Low,CAD,19.44,informational
video media companies near me,10.0,,,100.0,High,CAD,,transactional
companies that need video production,10.0,,,29.0,Low,CAD,,commercial
media and production company,880.0,3.07,12.07,7.0,Low,CAD,7.57,transactional
creative video production agency,140.0,3.65,35.84,3.0,Low,CAD,19.745,transactional
smart video,590.0,1.47,11.28,1.0,Low,CAD,6.375,informational
explainer video animation services,210.0,12.84,45.92,4.0,Low,CAD,29.380000000000003,transactional
best corporate video production companies,70.0,,,0.0,Low,CAD,,commercial
360 production company,40.0,1.89,4.88,2.0,Low,CAD,3.385,transactional
post production editing,480.0,1.48,9.79,3.0,Low,CAD,5.635,informational
top video advertising companies,10.0,,,43.0,Medium,CAD,,commercial
dneg animation studio,40.0,,,0.0,Low,CAD,,transactional
90 seconds video production,20.0,,,8.0,Low,CAD,,commercial
promo marketing video maker,10.0,,,67.0,High,CAD,,informational
sponsored brand video ads,10.0,8.44,63.8,46.0,Medium,CAD,36.12,informational
3d architectural visualization companies,260.0,5.49,21.54,3.0,Low,CAD,13.515,informational
b2b video marketing agency,40.0,,,3.0,Low,CAD,,transactional
special effects companies,210.0,2.07,5.69,8.0,Low,CAD,3.88,informational
corporate video filming,30.0,4.6,17.46,8.0,Low,CAD,11.03,informational
social video production company,390.0,5.41,19.19,7.0,Low,CAD,12.3,transactional
cost of 3d animation per minute,70.0,2.3,10.05,13.0,Low,CAD,6.175000000000001,transactional
video production studio for rent,10.0,,,29.0,Low,CAD,,transactional
visual effects studios,1600.0,1.91,5.59,5.0,Low,CAD,3.75,transactional
sports video companies,10.0,,,33.0,Medium,CAD,,informational
oklahoma video production,10.0,,,32.0,Low,CAD,,commercial
broadcasting & media production company,50.0,2.78,9.29,10.0,Low,CAD,6.034999999999999,transactional
explainer video production service,140.0,11.89,41.93,2.0,Low,CAD,26.91,transactional
best brand videos,90.0,1.69,13.28,14.0,Low,CAD,7.484999999999999,commercial
vfx companies near me,50.0,1.9,6.03,18.0,Low,CAD,3.965,transactional
professional video editing company,30.0,5.17,15.6,5.0,Low,CAD,10.385,transactional
advert production,390.0,3.27,15.33,4.0,Low,CAD,9.3,informational
youtube video maker agency,10.0,,,0.0,Low,CAD,,transactional
corporate branding video,70.0,6.7,15.92,5.0,Low,CAD,11.31,informational
best video production companies near me,30.0,,,6.0,Low,CAD,,transactional
clutch video production,10.0,3.12,17.66,36.0,Medium,CAD,10.39,commercial
2d animation fiverr,10.0,0.75,4.04,15.0,Low,CAD,2.395,commercial
demo duck pricing,10.0,,,0.0,Low,CAD,,transactional
fort worth production companies,30.0,3.62,14.0,38.0,Medium,CAD,8.81,informational
epic videography,880.0,,,0.0,Low,CAD,,informational
computer animation studios,90.0,2.32,15.49,2.0,Low,CAD,8.905,transactional
commercial production houses,50.0,9.84,24.66,20.0,Low,CAD,17.25,informational
top video agencies,10.0,,,24.0,Low,CAD,,commercial
digital video company,40.0,23.58,33.46,8.0,Low,CAD,28.52,transactional
3d architectural walkthrough services,70.0,11.86,25.85,5.0,Low,CAD,18.855,transactional
media production company website,10.0,,,0.0,Low,CAD,,transactional
digital media video production,20.0,2.84,9.34,11.0,Low,CAD,6.09,commercial
social video producer,40.0,5.35,11.4,13.0,Low,CAD,8.375,informational
agency video maker,10.0,,,,Unknown,CAD,,transactional
explainer video maker company,10.0,,,0.0,Low,CAD,,transactional
marketing agency video production,30.0,,,0.0,Low,CAD,,transactional
brand video marketing,50.0,6.73,20.5,9.0,Low,CAD,13.615,informational
video pre roll ads,110.0,5.95,55.9,3.0,Low,CAD,30.925,informational
special effects companies near me,20.0,1.91,17.22,30.0,Low,CAD,9.565,transactional
e commerce video production,140.0,9.31,24.48,5.0,Low,CAD,16.895,commercial
youtube production studio,10.0,2.38,9.31,25.0,Low,CAD,5.845000000000001,transactional
company corporate video,480.0,6.68,34.52,2.0,Low,CAD,20.6,transactional
3d animation house,50.0,2.39,13.86,3.0,Low,CAD,8.125,commercial
video production services cost,20.0,,,0.0,Low,CAD,,transactional
best whiteboard animation videos,10.0,7.5,40.37,12.0,Low,CAD,23.935,commercial
3d production studio,20.0,,,5.0,Low,CAD,,transactional
one of us vfx,480.0,1.49,5.49,1.0,Low,CAD,3.49,commercial
tv advert production company,1000.0,8.81,46.9,6.0,Low,CAD,27.855,transactional
award winning production company,10.0,,,5.0,Low,CAD,,transactional
top video marketing companies,20.0,,,3.0,Low,CAD,,commercial
3d video production companies,170.0,2.97,34.94,3.0,Low,CAD,18.955,commercial
explainer animation agency,20.0,,,0.0,Low,CAD,,transactional
best video production services,30.0,,,7.0,Low,CAD,,transactional
brand video creation,20.0,,,0.0,Low,CAD,,informational
architectural animation services,70.0,,,2.0,Low,CAD,,transactional
black magic davinci resolve,1900.0,0.2,7.45,26.0,Low,CAD,3.825,informational
nonprofit video production company,170.0,3.06,12.88,3.0,Low,CAD,7.970000000000001,transactional
video production for non profits,10.0,,,2.0,Low,CAD,,commercial
framestore vfx,390.0,2.87,13.98,3.0,Low,CAD,8.425,commercial
video production agencies near me,1900.0,4.86,21.62,20.0,Low,CAD,13.24,transactional
philadelphia film production companies,90.0,2.38,6.51,25.0,Low,CAD,4.445,informational
multi media production company,10.0,2.43,7.84,36.0,Medium,CAD,5.135,transactional
animation rendering,320.0,3.68,15.13,7.0,Low,CAD,9.405,commercial
israeli production companies,10.0,,,0.0,Low,CAD,,informational
movie editing companies,110.0,3.3,12.7,21.0,Low,CAD,8.0,informational
technical 3d animation,30.0,,,1.0,Low,CAD,,commercial
music video production studio,20.0,1.85,5.1,43.0,Medium,CAD,3.475,transactional
demo duck vimeo,10.0,,,36.0,Medium,CAD,,informational
long island production companies,50.0,4.08,13.0,23.0,Low,CAD,8.54,informational
animated explainer company,10.0,31.58,54.18,16.0,Low,CAD,42.88,transactional
small vfx studios,10.0,,,29.0,Low,CAD,,transactional
biggest commercial production companies,10.0,,,34.0,Medium,CAD,,informational
3d walkthrough price,20.0,1.28,3.4,46.0,Medium,CAD,2.34,transactional
video production marketing agency,50.0,10.65,23.66,18.0,Low,CAD,17.155,transactional
3d motion graphics designer,30.0,,,5.0,Low,CAD,,commercial
3d sparrow animation studio,10.0,2.77,4.19,14.0,Low,CAD,3.4800000000000004,transactional
best animated explainer video companies,20.0,,,2.0,Low,CAD,,commercial
music video production house,10.0,,,13.0,Low,CAD,,commercial
dubbed naruto crunchyroll,50.0,3.75,9.24,8.0,Low,CAD,6.495,informational
seneca 3d animation,40.0,,,6.0,Low,CAD,,commercial
phoenix video production company,50.0,3.27,21.45,16.0,Low,CAD,12.36,transactional
prime focus vfx,50.0,,,4.0,Low,CAD,,commercial
social video production agency,50.0,,,1.0,Low,CAD,,transactional
virtual animation studio,10.0,,,36.0,Medium,CAD,,transactional
short video company,20.0,,,4.0,Low,CAD,,transactional
animated film companies,1900.0,3.82,25.0,16.0,Low,CAD,14.41,informational
top 3d animation studios,40.0,3.39,15.09,12.0,Low,CAD,9.24,transactional
3d video for 3d glasses,1000.0,0.42,1.5,5.0,Low,CAD,0.96,informational
the video animation company,10.0,,,10.0,Low,CAD,,transactional
cgi animation agency,30.0,,,0.0,Low,CAD,,transactional
everlast video productions,10.0,,,5.0,Low,CAD,,commercial
3d animation production house,20.0,,,3.0,Low,CAD,,commercial
starting a video production business,10.0,,,34.0,Medium,CAD,,commercial
video production global,10.0,,,0.0,Low,CAD,,commercial
commercial real estate video production,40.0,,,6.0,Low,CAD,,commercial
3d cgi studio,10.0,,,52.0,Medium,CAD,,transactional
video 3d animation maker,10.0,,,50.0,Medium,CAD,,commercial
empire video production,10.0,,,9.0,Low,CAD,,commercial
advertising film production,20.0,2.59,24.26,6.0,Low,CAD,13.425,informational
video production for commercials,1300.0,5.47,28.7,3.0,Low,CAD,17.085,commercial
video development company,20.0,,,3.0,Low,CAD,,transactional
3d medical animation studio,50.0,,,4.0,Low,CAD,,transactional
commercial production services,70.0,11.21,24.6,3.0,Low,CAD,17.905,transactional
commercial video production cost,70.0,,,1.0,Low,CAD,,commercial
3d animation medical education,10.0,,,10.0,Low,CAD,,commercial
interior design animation,30.0,,,2.0,Low,CAD,,commercial
corporate event video production,140.0,5.89,10.87,1.0,Low,CAD,8.379999999999999,commercial
real estate production company,10.0,,,5.0,Low,CAD,,transactional
starting a media production company,20.0,,,11.0,Low,CAD,,transactional
international video production,30.0,,,2.0,Low,CAD,,commercial
brand advertising video,10.0,3.4,21.07,14.0,Low,CAD,12.235,informational
top video companies,10.0,10.62,37.45,49.0,Medium,CAD,24.035,commercial
sparkhouse video production,20.0,7.23,26.27,23.0,Low,CAD,16.75,commercial
video production podcast,140.0,3.0,13.78,13.0,Low,CAD,8.39,commercial
video film company,8100.0,5.34,21.51,7.0,Low,CAD,13.425,transactional
top production company,20.0,,,8.0,Low,CAD,,transactional
commercial video producer,1300.0,5.47,28.7,3.0,Low,CAD,17.085,informational
creative video company,50.0,,,1.0,Low,CAD,,transactional
animation studio 3d,20.0,2.61,15.09,12.0,Low,CAD,8.85,transactional
live video production company,50.0,,,1.0,Low,CAD,,transactional
award winning video production,40.0,,,1.0,Low,CAD,,commercial
phoenix film production company,10.0,,,36.0,Medium,CAD,,transactional
pro video production,480.0,6.62,55.9,2.0,Low,CAD,31.26,commercial
music video production company near me,20.0,3.05,11.5,11.0,Low,CAD,7.275,transactional
3d animation studios list,20.0,,,4.0,Low,CAD,,transactional
small business video production company,20.0,,,0.0,Low,CAD,,transactional
video editing studios near me,20.0,,,14.0,Low,CAD,,transactional
2d 3d animation studio,10.0,,,0.0,Low,CAD,,transactional
3d animation architecture design,10.0,,,0.0,Low,CAD,,commercial
video graphics company,10.0,,,4.0,Low,CAD,,transactional
medical animation services,90.0,11.13,32.23,3.0,Low,CAD,21.68,transactional
corporate explainer video production,170.0,4.86,26.71,6.0,Low,CAD,15.785,informational
marketing video production services,210.0,6.29,31.95,1.0,Low,CAD,19.12,transactional
video production company prices,40.0,2.31,10.24,13.0,Low,CAD,6.275,transactional
the 360 video company,10.0,,,3.0,Low,CAD,,transactional
youtube production team,10.0,,,14.0,Low,CAD,,informational
3d rendering and animation,210.0,3.29,14.8,8.0,Low,CAD,9.045,commercial
photography production house,10.0,,,29.0,Low,CAD,,informational
vfx animation studio,20.0,4.89,13.53,22.0,Low,CAD,9.21,transactional
3d animation price per minute,70.0,2.3,10.05,13.0,Low,CAD,6.175000000000001,transactional
top 10 video production companies,10.0,1.62,4.28,57.0,Medium,CAD,2.95,commercial
web video producer,70.0,4.32,10.93,8.0,Low,CAD,7.625,informational
photography and video company,70.0,1.86,12.93,3.0,Low,CAD,7.395,transactional
corporate marketing video production,40.0,9.56,61.37,6.0,Low,CAD,35.465,commercial
vfx house,110.0,1.69,3.95,6.0,Low,CAD,2.8200000000000003,commercial
video post production companies,70.0,,,1.0,Low,CAD,,informational
amazon sponsored brands video ads,10.0,,,6.0,Low,CAD,,informational
architectural animation company,40.0,,,0.0,Low,CAD,,transactional
corporate video production prices,260.0,4.45,18.24,3.0,Low,CAD,11.345,transactional
video corporate production,2900.0,6.51,32.18,5.0,Low,CAD,19.345,informational
character animation studios,50.0,4.06,19.01,6.0,Low,CAD,11.535,transactional
whiteboard video production company,20.0,,,0.0,Low,CAD,,transactional
viral video companies,40.0,3.28,9.65,8.0,Low,CAD,6.465,informational
vfx production company,20.0,3.13,7.32,15.0,Low,CAD,5.225,transactional
corporate training video production company,20.0,,,7.0,Low,CAD,,transactional
wedding video production company,50.0,,,1.0,Low,CAD,,transactional
international video company,10.0,,,,Unknown,CAD,,transactional
companies looking for video production,10.0,,,12.0,Low,CAD,,commercial
cgi product animation,50.0,2.22,14.28,7.0,Low,CAD,8.25,commercial
online video production company,50.0,,,2.0,Low,CAD,,transactional
saas explainer video production,20.0,9.29,19.97,12.0,Low,CAD,14.63,informational
ad agency video,880.0,7.78,35.31,4.0,Low,CAD,21.545,transactional
tv commercial video production,1300.0,5.47,28.7,3.0,Low,CAD,17.085,commercial
creative explainer videos,20.0,,,1.0,Low,CAD,,informational
special effects studios,90.0,3.57,6.2,3.0,Low,CAD,4.885,transactional
creative video content,10.0,14.45,20.96,13.0,Low,CAD,17.705,informational
music video marketing companies,10.0,,,0.0,Low,CAD,,informational
3d animation real estate,10.0,,,9.0,Low,CAD,,commercial
commercial production studio,70.0,4.26,15.09,2.0,Low,CAD,9.675,transactional
multimedia production studio,320.0,2.73,5.88,7.0,Low,CAD,4.305,transactional
video distributors,480.0,3.28,20.35,10.0,Low,CAD,11.815,informational
ad films production house,10.0,,,19.0,Low,CAD,,informational
maya animation studio,10.0,,,5.0,Low,CAD,,transactional
best vfx companies,50.0,,,6.0,Low,CAD,,commercial
viral video production company,10.0,,,2.0,Low,CAD,,transactional
crunchyroll bought funimation,90.0,,,0.0,Low,CAD,,informational
digital marketing explainer video,30.0,,,3.0,Low,CAD,,informational
dc film production companies,170.0,2.17,6.97,4.0,Low,CAD,4.57,informational
film and television production companies,6600.0,2.33,8.55,14.0,Low,CAD,5.44,informational
crunchyroll simulcasts,2400.0,,,0.0,Low,CAD,,informational
full video production services,260.0,3.76,21.38,2.0,Low,CAD,12.57,transactional
animation in web design,170.0,2.42,11.54,13.0,Low,CAD,6.98,commercial
motion graphics corporate video,10.0,,,33.0,Medium,CAD,,commercial
in house video production team,10.0,,,,Unknown,CAD,,commercial
3d product animation companies,140.0,,,1.0,Low,CAD,,commercial
social media video production cost,50.0,,,2.0,Low,CAD,,commercial
motion design ux,90.0,3.33,9.94,11.0,Low,CAD,6.635,informational
video production in digital marketing,40.0,,,1.0,Low,CAD,,commercial
training video producers,880.0,4.75,27.91,5.0,Low,CAD,16.33,informational
starting a freelance videography business,10.0,,,5.0,Low,CAD,,informational
kmc video productions,10.0,,,0.0,Low,CAD,,commercial
best music video production companies,30.0,2.3,14.3,6.0,Low,CAD,8.3,commercial
explainer video production house,140.0,16.99,41.93,3.0,Low,CAD,29.46,informational
motion graphics commercial,90.0,2.46,15.79,21.0,Low,CAD,9.125,commercial
corporate video training,20.0,23.76,59.45,15.0,Low,CAD,41.605,informational
motion graphics video production,260.0,5.37,65.96,1.0,Low,CAD,35.665,commercial
360 video agency,30.0,,,0.0,Low,CAD,,transactional
cg blender,50.0,,,0.0,Low,CAD,,informational
ad film making companies,10.0,,,0.0,Low,CAD,,informational
motion graphics production company,90.0,,,1.0,Low,CAD,,transactional
kc video company,10.0,7.04,41.87,50.0,Medium,CAD,24.455,transactional
character animation video maker,10.0,2.33,7.91,51.0,Medium,CAD,5.12,commercial
3d walkthrough rendering,50.0,4.74,24.25,4.0,Low,CAD,14.495,informational
3d animation service providers,20.0,,,0.0,Low,CAD,,transactional
3d motion graphics service,170.0,,,1.0,Low,CAD,,transactional
animated explainer video production company,170.0,20.96,55.44,3.0,Low,CAD,38.2,transactional
la commercial production companies,320.0,5.06,17.96,24.0,Low,CAD,11.51,informational
2d & 3d animation combined,10.0,,,0.0,Low,CAD,,commercial
